Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
169,0,Low,4,1630,4,J W,
170,0,Low,4,1630,7,G H I,
171,0,Low,4,1630,8,D F,
172,0,Low,4,1630,12,A M T,
173,0,Low,4,1730,7,G H I,
174,0,Low,4,1730,9,B K,
175,0,Low,4,1800,4,F W,
176,0,Low,4,1800,7,G H I L,
177,0,Low,4,1800,9,B K V,
178,0,Low,4,1800,12,E A,
179,0,Low,5,1000,2,Q V,
180,0,Low,5,1000,4,F J,
181,0,Low,5,1000,4,S W,
182,0,Low,5,1000,7,G H L,
183,0,Low,5,1000,7,L O,
184,0,Low,5,1000,9,B K R,
185,0,Low,5,1000,11,A C,
186,0,Low,5,1115,4,S J ,
187,0,Low,5,1115,7,G H,
188,0,Low,5,1115,8,D X,
189,0,Low,5,1115,9,K R,
190,0,Low,5,1115,11,A C,
191,0,Low,5,1230,1,M X,
192,0,Low,5,1230,6,P T,
193,0,Low,5,1230,7,G H I,
194,0,Low,5,1230,9,K R,
195,0,Low,5,1230,12,D E,
196,0,Low,5,1330,7,G H I S W,
197,0,Low,5,1330,9,K R,
198,0,Low,5,1330,12,E M,
199,0,Low,5,1430,7,G I,
200,0,Low,5,1430,9,K R,
201,0,Low,5,1430,11,A C,
202,0,Low,5,1430,12,D E,
203,0,Low,5,1530,6,A K E,
204,0,Low,5,1630,4,J U,
205,0,Low,5,1630,6,B E,
206,0,Low,5,1630,7,F I,
207,0,Low,5,1630,10,C G,
208,0,Low,5,1730,4,F J ,
209,0,Low,5,1730,6,B E,
210,0,Low,5,1730,7,I K,
211,0,Low,5,1800,7,I K,
212,0,Low,5,1800,12,L O,
213,0,Low,6,1000,4,F Q,
214,0,Low,6,1000,6,B E,
215,0,Low,6,1000,6,X H T,
216,0,Low,6,1000,7,I K,
217,0,Low,6,1000,12,L V,
218,0,Low,6,1000,12,A O,
219,0,Low,6,1115,6,E P,
220,0,Low,6,1115,6,H T,
221,0,Low,6,1115,7,I K,
222,0,Low,6,1115,10,C G,
223,0,Low,6,1115,12,A V,
224,0,Low,6,1230,6,E H,
225,0,Low,6,1230,10,C G,
226,0,Low,6,1330,1,V W,
227,0,Low,6,1330,6,H T,
228,0,Low,6,1430,6,H T,
229,0,Low,6,1430,12,C E Q,
230,0,Low,6,1530,4,C L ,
231,0,Low,6,1530,12,A K,
232,0,Low,6,1630,6,H N P,
233,0,Low,6,1630,7,B W,
234,0,Low,6,1730,4,J O,
235,0,Low,6,1730,6,L N,
236,0,Low,6,1730,7,B W,
237,0,Low,6,1730,7,I X,
238,0,Low,6,1730,10,F U,
239,1,Low,1,900,1,X U M J,
240,1,Low,1,900,5,D N F,
241,1,Low,1,900,8,L R,
242,1,Low,1,900,10,H I O,
243,1,Low,1,900,10,T V,
244,1,Low,1,1000,1,J U M,
245,1,Low,1,1000,5,N D,
246,1,Low,1,1100,1,J U M,
247,1,Low,1,1100,5,N D,
248,1,Low,1,1200,1,M U,
249,1,Low,1,1200,10,P H,
250,1,Low,1,1300,1,J K U F,
251,1,Low,1,1500,7,U F L,
