Day,Time,Location,Focal Individual,Behaviour,Social Partners(s),Partner's response,Notes
1,8:40 AM,1,.8,Mating,.4,,
1,8:41 AM,Outside,.2,Mating,7.,,
1,8:41 AM,1,.0,Mating,6.,,
1,8:42 AM,Outside,.4,Mount,2. and 7.,,
1,8:42 AM,2,.7,Mating,5.,Walking around in shelter,
1,8:45 AM,2,.2,Enter,N/A,,
1,8:45 AM,2,.6,Mount,.2,,
1,8:47 AM,2,.6,Mount,1:,,
1,8:48 AM,2,:1,Mount,1:,Ran away,
1,8:48 AM,2,.6,Mating,1:,,
1,8:49 AM,2,.9,Mating,8.,,
1,8:52 AM,1,:0,Mating,6.,,
1,8:53 AM,1,.8,Mating,.4,,
1,8:54 AM,2,1.,Mount,3.,Pressed against wall,
1,8:56 AM,1,.1,Mating,4.,,
1,8:56 AM,1,.8,Mount,:0,Ran away,
1,8:59 AM,2,.4,Mount,1:,Ran away,
1,8:59 AM,1,.8,Mount,2.,Pressed against wall,.8 trying to mate
1,9:02 AM,1,.8,Mating,2.,,
1,9:02 AM,1,.9,Mount,.8 and 2.,,
1,9:06 AM,Outside 2,:1,Mount,9.,,
1,9:07 AM,2,.5,Mating,1.,,
1,9:09 AM,1,.8,Mount,2.,,
1,9:11 AM,1,.8,Mount,2.,,
1,9:12 AM,1,.0,Mount,.8,,
1,9:12 AM,1,:0,Mount,4.,,
1,9:13 AM,1,9.,Enter,,,
1,9:13 AM,1,.8,Mount,2.,,
1,9:17 AM,1,.8,Mount,2.,,
1,9:18 AM,1,4.,Exit,9.,,4. was touched by 9. and left
1,9:19 AM,1,8.,Mount,2.,,
1,9:20 AM,Outside,4.,Bump,7.,Ran away,
1,9:20 AM,1,.8,Mating,2.,,Maybe mating??
1,9:21 AM,1,.1,Mount,2. and .8,,
1,9:22 AM,1,9.,Exit,,,Was touched by 4. by the door of 1
1,9:22 AM,2,.7,Mount,.4,Exit shelter,
1,9:23 AM,2,.9,Mount,.7,,
1,9:23 AM,1,4.,Enter,,,
1,9:24 AM,2,.6,Mount,.9,,
1,9:24 AM,2,.4,Mount,.6,,
1,9:24 AM,2,8.,Exit,,,
