Day,Time,Location,Focal Individual,Behaviour,Social Partners(s),Partner's response,Notes
1,12:39 PM,3,6.,Exit 3,N/A,,
1,12:40 PM,8,.0,Enter 8,5.,,
1,12:41 PM,Open,.0,Mount,6.,Ran away,
1,12:41 PM,8,0.,Move within 8,N/A,,
1,12:45 PM,9,9.,Exit 9,N/A,,
1,12:46 PM,Open,.1,Mating,9.,"Running around, entered 2",
1,12:47 PM,2,.2,Mount,9.,,Tried to mount 9. while .1 was mating with her which ended the mating
1,12:48 PM,2,9.,Exit 2,N/A,,
1,12:48 PM,3,9.,Enter 3,N/A,,
1,12:49 PM,12,.3,Enter 12,N/A,,
1,12:50 PM,8,0.,Exit 8,N/A,,
1,12:50 PM,9,0.,Enter 9,N/A,,
1,1:01 PM,4,7.,Exit 4,N/A,,
1,1:04 PM,Feeder,1:,Feeding,N/A,,
1,1:06 PM,Feeder,1.,Approach feeder,N/A,,Ran away
1,1:07 PM,Feeder,3.,Feeding,N/A,,
1,1:07 PM,7,1:,Enter 7,N/A,,
1,1:08 PM,Outside 2,.1,Mount,1.,Ran away into 2,
1,1:09 PM,Outside 4,.0,Mount,7.,Ran away,
1,1:11 PM,8,3.,Enter 8,N/A,,
1,1:14 PM,Feeder,.0,Approach feeder,N/A,,
1,1:18 PM,Feeder,.0,Attempt feeding,N/A,,
1,1:18 PM,1,.5,Moved within 1,N/A,"No longer with .9, 8., and :0",
1,1:19 PM,10,.7,Enter 10,.8,,
1,1:21 PM,10,.7,Moved within 10,N/A,,
1,1:23 PM,Feeder,7.,Feeding,N/A,,
1,1:23 PM,1,.9,Moved within 1,N/A,No longer with 8. and :0,
1,1:24 PM,10,.7,Mount,8.,Shake and ran away,
1,1:24 PM,1,.9,Moved within 1,:0 and 8.,,
1,1:26 PM,8,0.,Enter 8,N/A,,
1,1:26 PM,8,3.,Left 8,N/A,Was touched by 0. and ran away,
1,1:27 PM,7,3.,Enter 7,N/A,,
1,1:27 PM,Feeder,9.,Feeding,N/A,,
1,1:28 PM,4,.3,Mating,0.,Walked around,
1,1:29 PM,Outside 8,.0,Mount,5.,Ran away,
1,1:31 PM,Feeder,5.,Attempt feeding,N/A,,
1,1:32 PM,3,9.,Enter 3,N/A,,
1,1:34 PM,10,.8,Mount,4.,Ran away,
1,1:35 PM,10,4.,Exit 10,N/A,,
1,1:35 PM,1,:0,Exit 1,N/A,,
1,1:36 PM,1,.5,Exit 1,N/A,,
1,1:36 PM,1,.9,Moved within 1,N/A,No longer with anyone,
1,1:37 PM,Feeder,2.,Attempt feeding,N/A,,
1,1:38 PM,Feeder,5.,Attempt feeding,N/A,,
1,1:39 PM,1,:0,Enter 1,N/A,,
1,1:40 PM,10,7.,Enter 10,N/A,,
1,1:42 PM,Outside 2,.1,Mount,.2,,
1,1:43 PM,Outside 1,.4,Mount ,.7,Ran away,
1,1:43 PM,Feeder,.1,Feeding,N/A,,
1,1:45 PM,1,.1,Enter 7,,,
1,1:46 PM,1,:0,Mount ,8.,Ran away,
1,1:46 PM,Outside 1,.4,Mating,5.,,
1,1:48 PM,7,.1,Mount,1:,1: is tightly against wall,
1,1:48 PM,1,.9,Mount,8.,,
1,2:08 PM,6,:1,Enter 6,N/A,,
1,2:09 PM,11,2.,Enter 11,N/A,,
1,2:09 PM,10,.3,Enter 10,N/A,,
1,2:10 PM,Outside 10,:1,Mating,6.,Walk around,
1,2:12 PM,Feeder,.2,Mount,.1,Run away,
1,2:14 PM,6,0:,Enter  6,N/A,,
1,2:14 PM,Feeder,.2,Attempt feeding,N/A,,
1,2:17 PM,Feeder,8.,Attempt feeding,N/A,,
1,2:17 PM,Open,.1,Mount,8.,Ran away,.9 also mounted them which broke up the mounting
1,2:18 PM,Open,:1,Mount,1:,Ran away,0
1,2:19 PM,8,1:,Enter 8,N/A,,
1,2:22 PM,8,1:,Exit 8,N/A,,
1,2:22 PM,2,1:,Enter 2,N/A,,
1,2:26 PM,7,:1,Enter 7,".5, .1, .2, .9",,not sure when this aggregation formed
1,2:30 PM,Feeder,.0,Feeding,N/A,,
1,2:30 PM,Feeder,7.,Feeding,N/A,,Feeding again
1,2:32 PM,6,.0,Enter 6,N/A,,
1,2:33 PM,Feeder,7.,Feeding,N/A,,Feeding again
1,2:35 PM,Feeder,.1,Mount,7.,Continued feeding,
1,2:37 PM,Open,.1,Mount ,:1,,
1,2:38 PM,Feeder,1:,Feeding,N/A,,Feeding again
1,2:41 PM,7,.5,Left 7,N/A,,
1,2:42 PM,Open,.7,Mating,8.,,
1,2:43 PM,7,.1,Left 7,.1,,
1,2:44 PM,9,1:,Enter 9,N/A,,
1,2:49 PM,7,6.,Exit 6,N/A,,
1,3:06 PM,Open,.1,Mating,5.,Walking around,
1,3:07 PM,12,6.,Enter 12,N/A,,
1,3:08 PM,4,1:,Exit 4,N/A,,
1,3:08 PM,10,1:,Enter 10,.8,,
1,3:08 PM,8,.2,Move within 8,.3,,
1,3:09 PM,10,8.,Mount,1:,Pushed against wall,
1,3:10 PM,11,7.,Enter 11,N/A,,
1,3:11 PM,12,6.,Exit 12,N/A,,
1,3:13 PM,10,.8,Move within 10,1:,,
1,3:15 PM,Open,?,Bump,6.,Ran away,
1,3:16 PM,4,:0,Enter 4,N/A,,
1,3:16 PM,7,8.,Left 7,N/A,,
1,3:18 PM,8,.1,Enter 8,N/A,,
1,3:20 PM,12,8.,Enter 12,N/A,,
1,3:20 PM,7,:1,Move within 7,N/A,No longer with .5,
1,3:23 PM,4,:0,Left 4,N/A,was touched by 9. and ran away,
1,3:24 PM,7,:1,Move within 7,.5,,
1,3:28 PM,2,7.,Enter 2,3.,Ran away,
1,3:30 PM,2,.9,Mount,3.,Ran away,
1,3:31 PM,2,.9,Exit 2,N/A,,
1,3:31 PM,2,3.,Exit 2,N/A,,
1,3:31 PM,Outside 7,.6,Mating,0.,Walking around,
1,3:33 PM,1,.9,Mount,2.,Ran away,
1,3:33 PM,Open,.3,Mating,8.,Walking around,
1,3:34 PM,12,6.,Enter 12,N/A,,
1,3:35 PM,11,2.,Enter 11,N/A,,
1,3:35 PM,8,3.,Enter 8,N/A,,
1,3:36 PM,8,:0,Enter 8,N/A,,
1,3:37 PM,Open,.3,Mount,9.,Ran away,
1,3:37 PM,11,9. ,Enter 11,N/A,,
1,3:35 PM,11,.0,Enter 11,2.,,
1,3:39 PM,11,.0,Exit 11,N/A,,
1,3:40 PM,12,6.,Exit 12,N/A,,
1,3:40 PM,12,3.,Exit 12,N/A,,
1,3:41 PM,12,:1,Enter 12,N/A,,
1,3:41 PM,8,.9,Enter 8,N/A,,
1,3:42 PM,8,.9,Mount,.1,Moved away,
1,3:43 PM,8,.1,Move within 8,.2,,
1,3:43 PM,8,.9,Exit 8,N/A,,
1,3:43 PM,8,:0,Exit 8,N/A,,
1,3:44 PM,10,:0,Enter 9,".8, 1:",,
1,3:46 PM,Open,.9,Mount,0.,Ran away,
1,3:47 PM,10,.8,Move within 10,N/A,,
1,4:06 PM,12,3.,Exit 12,N/A,,
1,4:07 PM,8,6.,Enter 8,N/A,,
1,4:08 PM,9,.2,Move within 9,.7,,
1,4:10 PM,10,.5,Move within 10,":0, 9., .9, 1:",Joined the big aggregation,
1,4:10 PM,10,.9,Move within 10,N/A,Left the big aggregation,
1,4:11 PM,10,.5,Mount,.9,Left big aggregation,
1,4:12 PM,10,.9,Exit 10,N/A,,
1,4:12 PM,7,.9,Enter 7,N/A,,
1,4:13 PM,7,.9,Mount,8.,Ran away,
1,4:13 PM,7,8.,Exit 7,N/A,,
1,4:16 PM,Open,.1,Mount,7.,,
1,4:18 PM,10,?,Enter 10,"3., 9., 1:",,
1,4:20 PM,10,0:,Move within 10,.8,,
1,4:21 PM,10,9.,Move within 10,.8 and 0:,Left 1: and 3.,
1,4:27 PM,8,7.,Enter 8,N/A,,
1,4:31 PM,8,:0,Mount ,9. and 3.,Both ran away and exited 10,
1,4:34 PM,5,.5,Enter 5,N/A,,
1,4:35 PM,2,9.,Enter 2,N/A,,
1,4:35 PM,5,.5,Exit 5,N/A,,
1,4:36 PM,5,.6,Exit 5,N/A,,
1,4:36 PM,2,9.,Exit 2,N/A,,
1,4:36 PM,7,9.,Enter 7,N/A,,
1,4:36 PM,7,9.,Exit 7,N/A,,
1,4:37 PM,12,7.,Enter 12,N/A,,
1,4:38 PM,10,.5,Enter 5,".8, 3., 1:",,
1,4:40 PM,3,9.,Enter 3,N/A,,
1,4:41 PM,10,.5,Move within 10,N/A,No longer with anyone,
1,4:42 PM,10,:0,Exit 10,N/A,,
1,4:42 PM,11,:0,Enter 11,N/A,,
1,4:43 PM,11,:0,Exit 11,N/A,,
1,4:45 PM,8,.5,Enter 8,N/A,,
1,4:47 PM,7,9.,Enter 7,N/A,,
1,4:49 PM,9,2.,Mount,6.,,
1,4:49 PM,9,8.,Enter 9,2. and .7,,
1,4:50 PM,9,.2,Exit 9,N/A,,
2,10:12 AM,12,5. ,move within shelter,"away from 1. , 0:, unknown",N/A,
2,10:16 AM,2,.4 ,move within shelter,moved towards .6,N/A,.4 and .6 now in contact 
2,10:22 AM,12,5.,exit shelter ,N/A,N/A,
2,10:29 AM,10,.2,move within shelter,"moved away from .8,3.",N/A,
2,10:36 AM,2,.4,exit shelter ,moved away from .6,N/A,
2,10:38 AM,12,1.,move within shelter,"away from 0:, unknown",N/A,
2,10:40 AM,12,5. ,entering a shelter ,N/A,N/A,
2,10:42 AM,2,.4 ,exit shelter ,away from .6 ,N/A,
2,10:49 AM,12,5. ,exit shelter ,N/A,N/A,
2,10:51 AM,12,5. ,entering a shelter ,N/A,N/A,
2,10:52 AM,12,:1,exit shelter ,N/A,N/A,
2,11:00 AM,10,.2,moved within 10,N/A,N/A,left .8 and 3.
2,11:06 AM,10,.2,Exit 10,N/A,N/A,
2,11:06 AM,Outside 10,.2,Bump,5.,Ran away,
2,11:07 AM,10,0.,Moved within 10,N/A,Left 9.,
2,11:12 AM,10,0.,Exit 10,N/A,N/A,
2,11:13 AM,Outside 10,.2,Mount,0.,Staying still,
2,11:14 AM,Outside 10,.2,Mount,0.,Move away a little,
2,11:16 AM,10,.2,Enter 10,N/A,N/A,
2,11:23 AM,12,1.,move within shelter,:1,N/A,
2,11:27 AM,12,:1,Mating,1.,Run around,Ran into 0: and 7. (all remained together after)
2,11:30 AM,12,:1,moved within 12,N/A,"No longer with 0:, 7., and 1.",
2,11:31 AM,2,.4,Enter 2,.5,N/A,
2,11:31 AM,7,2.,Moved within 7,N/A,No longer with .9,
2,11:33 AM,10,.2,Enter 10,N/A,N/A,
2,11:33 AM,12,:1,Moved within 12,N/A,"Joined 0:, 7., 1.",
2,11:41 AM,Open,0.,Bump,5.,N/A,
2,12:05 PM,2,1.,Enter 2,.4,N/A,
2,12:05 PM,2,.5,Moved within 2,".4, 1.",1. Ran away,
2,12:06 PM,2,1.,Exit 2,N/A,,
2,12:09 PM,8,.0,Moved within 8,N/A,No longer with :0,
2,12:10 PM,8,.0,Mount :0,N/A,,
2,12:21 PM,Open,0.,Bump,1.,Ran away,
2,12:24 PM,Open,5.,Bump,6.,Ran away,
2,12:28 PM,Open,6.,Bump,0.,Ran away,
2,12:29 PM,Open,1.,Bump,6.,Ran away,
2,12:30 PM,1,.3,Move within 1,8.,N/A,
2,12:30 PM,10,6.,Enter 10,9.,N/A,
